title,summary
"Jeremy Bowen: Trump's Gaza plan won't happen, but it will have consequences","The US president creates uncertainty and injects more instability, our international editor writes."
'Studio sex' and 'hitman threats': Insiders speak out about Diddy's 90s music empire,"Bad Boy Records staff claim troubling incidents in the rise of the rap mogul, now fighting sex trafficking charges."
"Jeremy Bowen: Trump's Gaza plan won't happen, but it will have consequences","The US president creates uncertainty and injects more instability, our international editor writes."
Sweden mourns after deadliest shooting as gunman details emerge,Police say they have identified the gunman but will not publish his name yet or those of victims.
Strong earthquake near Santorini after days of tremors,"More than 11,000 people have already left the island of Santorini in recent days."
'Studio sex' and 'hitman threats': Insiders speak out about Diddy's 90s music empire,"Bad Boy Records staff claim troubling incidents in the rise of the rap mogul, now fighting sex trafficking charges."
"More than 100 women raped and burned alive in DR Congo jailbreak, UN says","As M23 rebels entered Goma and the city was plunged into chaos, female prisoners were attacked, the UN says."
South Korea orders airports to install bird detection cameras,The directive comes as investigators focus on bird strike as one of the causes for December's deadly plane crash.
Protesters set fire to ex-Bangladesh PM's family home,It was sparked by news Sheikh Hasina would address the country via social media from exile in India.
Google joins firms dropping diversity recruitment goals,U-turn by the former diversity champion comes as major companies face pressure to drop the policies.
Trump signs order banning transgender women from female sports,"He says the move, which covers non-elite levels, restores fairness but human rights advocates have condemned it."
BBC Verify: Can Trump really take ownership of Gaza?,"BBC Verify examines international law to understand if the US has the authority to ""take over"" the Gaza Strip."
'We won't go out of Gaza': Palestinians express shock and defiance at Trump plan,Palestinians are calling on Jordan and Egypt to hold out against US pressure to take in displaced Gazans.
Why does Trump want to take over Gaza and could he do it?,The president's vision for a Gaza under US control could upend the future of Middle East relations.
Analysis: Trump's real-estate instincts clash with his America First worldview,"This isn't the first time he has seen a foreign policy problem as a business opportunity, writes Anthony Zurcher."
Gaza in maps: How 15 months of war have drastically changed the territory,A visual guide to how much has changed in the Gaza Strip since Israel began its military response to Hamas's attacks on 7 October.
'I'm alive thanks to US foreign aid',The BBC speaks to people around the world who will be affected if Donald Trump shuts the US's main overseas aid agency.
Trump ally Musk is remaking government - but will they clash?,"Musk has emerged as a dominant force in Trump's second term, gutting an agency and issuing ultimatums to staff."
What do we know about the Sweden school shooter?,"Local media suggest the 35-year-old legally owned a weapon, was unemployed and had no convictions."
Johannesburg revival: Bringing hope to one of world's most dangerous cities,"Johannesburg is known as a dangerous city, but some people are working to change that reputation."
"First glimpse inside burnt scroll after 2,000 years",The document charred by the eruption of Mount Vesuvius is being 'unwrapped' using X-ray scans and AI.
Protesters torch ex-Bangladesh PM's home,"It comes as Sheikh Hasina, who was ousted in protests last year, announced she would address the country via social media from India."
BBC Verify: Can Trump really take ownership of Gaza?,"BBC Verify examines international law to understand if the US has the authority to ""take over"" the Gaza Strip."
'I don't think people should go back there' - Trump's plan for Gazans after war,The US President was speaking during a visit from Israeli prime minister Benjamin Netanyahu
Moment tiger and boar rescued from well in India,Officials say the unlikely pair fell into the water when the tiger was chasing the boar.
Ros Atkins on...What is the US getting out of tariffs?,The BBC's Analysis Editor takes a look at the latest round of tariffs announced by President Trump - and what the US has got in return.
